"arm","strategy","fit_unit_id","group_size","start_path_position","end_path_position","candidate_model","fit_status","criterion_eligible","n_observations","n_episodes","AIC","BIC","r_per_day","K","N_init"
"C","independent","MDA-MB-231_C_A27_seed",,29,29,"exponential__normal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A27_seed",,29,29,"logistic__normal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A27_seed",,29,29,"exponential__mean_preserving_lognormal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A27_seed",,29,29,"logistic__mean_preserving_lognormal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A28_seed",,30,30,"exponential__normal","ok",TRUE,3,1,85.8430081977186,83.1388450637229,0.857089593639868,,406834.629414202
"C","independent","MDA-MB-231_C_A28_seed",,30,30,"logistic__normal","no_residual_degrees_of_freedom",FALSE,3,1,,,,,
"C","independent","MDA-MB-231_C_A28_seed",,30,30,"exponential__mean_preserving_lognormal","ok",TRUE,3,1,90.7345138885641,88.0303507545684,0.742471424067203,,593500.203924661
"C","independent","MDA-MB-231_C_A28_seed",,30,30,"logistic__mean_preserving_lognormal","no_residual_degrees_of_freedom",FALSE,3,1,,,,,
"C","independent","MDA-MB-231_C_A29_seed",,31,31,"exponential__normal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A29_seed",,31,31,"logistic__normal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A29_seed",,31,31,"exponential__mean_preserving_lognormal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A29_seed",,31,31,"logistic__mean_preserving_lognormal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A30_seed",,32,32,"exponential__normal","ok",TRUE,3,1,85.131662435116,82.4274993011204,0.740458056051753,,608907.516997005
"C","independent","MDA-MB-231_C_A30_seed",,32,32,"logistic__normal","no_residual_degrees_of_freedom",FALSE,3,1,,,,,
"C","independent","MDA-MB-231_C_A30_seed",,32,32,"exponential__mean_preserving_lognormal","ok",TRUE,3,1,90.5301745563724,87.8260114223768,0.804912910096403,,504831.680456364
"C","independent","MDA-MB-231_C_A30_seed",,32,32,"logistic__mean_preserving_lognormal","no_residual_degrees_of_freedom",FALSE,3,1,,,,,
"C","independent","MDA-MB-231_C_A31_seed",,33,33,"exponential__normal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A31_seed",,33,33,"logistic__normal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A31_seed",,33,33,"exponential__mean_preserving_lognormal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A31_seed",,33,33,"logistic__mean_preserving_lognormal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A32_seed",,34,34,"exponential__normal","ok",TRUE,3,1,74.7756531118719,72.0714899778762,0.679334068068256,,464285.311613168
"C","independent","MDA-MB-231_C_A32_seed",,34,34,"logistic__normal","no_residual_degrees_of_freedom",FALSE,3,1,,,,,
"C","independent","MDA-MB-231_C_A32_seed",,34,34,"exponential__mean_preserving_lognormal","ok",TRUE,3,1,78.3079269790094,75.6037638450137,0.699083582767148,,436180.879448434
"C","independent","MDA-MB-231_C_A32_seed",,34,34,"logistic__mean_preserving_lognormal","no_residual_degrees_of_freedom",FALSE,3,1,,,,,
"C","independent","MDA-MB-231_C_A33_seed",,35,35,"exponential__normal","ok",TRUE,3,1,84.227719383998,81.5235562500023,0.70224635521214,,529191.005167203
"C","independent","MDA-MB-231_C_A33_seed",,35,35,"logistic__normal","no_residual_degrees_of_freedom",FALSE,3,1,,,,,
"C","independent","MDA-MB-231_C_A33_seed",,35,35,"exponential__mean_preserving_lognormal","ok",TRUE,3,1,87.7629146053853,85.0587514713896,0.631973165871405,,662950.898605834
